Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,5.300000,5.670000,5.280000,5.590000,5.590000,24903700
2019-11-05,5.640000,5.710000,5.510000,5.570000,5.570000,16070600
2019-11-06,5.500000,5.690000,5.310000,5.350000,5.350000,19775100
2019-11-07,5.470000,5.600000,5.370000,5.410000,5.410000,15046500
2019-11-08,5.320000,5.400000,5.230000,5.390000,5.390000,13777400
2019-11-11,5.250000,5.340000,5.130000,5.220000,5.220000,13809600
2019-11-12,5.220000,5.260000,4.920000,4.950000,4.950000,17712000
2019-11-13,4.870000,4.930000,4.700000,4.850000,4.850000,17401100
2019-11-14,4.810000,4.990000,4.690000,4.710000,4.710000,13025800
2019-11-15,4.740000,4.930000,4.720000,4.860000,4.860000,13322600
2019-11-18,4.800000,4.860000,4.720000,4.820000,4.820000,13344700
2019-11-19,4.750000,4.800000,4.590000,4.660000,4.660000,11592600
2019-11-20,4.600000,4.770000,4.430000,4.460000,4.460000,23425800
2019-11-21,4.500000,4.590000,4.170000,4.590000,4.590000,19832400
2019-11-22,4.600000,4.790000,4.590000,4.740000,4.740000,14011900
2019-11-25,4.680000,5.040000,4.640000,5.030000,5.030000,15075100
2019-11-26,5.050000,5.190000,4.810000,4.830000,4.830000,15144100
2019-11-27,4.860000,5.050000,4.800000,5.020000,5.020000,12393500
2019-11-29,4.910000,5.020000,4.890000,4.980000,4.980000,5999100
2019-12-02,5.010000,5.100000,4.850000,4.920000,4.920000,12049500
2019-12-03,4.800000,5.000000,4.770000,4.860000,4.860000,10442300
2019-12-04,4.980000,5.530000,4.960000,5.360000,5.360000,22488100
2019-12-05,5.560000,5.560000,5.280000,5.320000,5.320000,16483300
2019-12-06,5.340000,5.780000,5.320000,5.630000,5.630000,22744200
2019-12-09,5.600000,5.850000,5.570000,5.710000,5.710000,12709400
2019-12-10,5.720000,5.790000,5.570000,5.650000,5.650000,12495300
2019-12-11,5.680000,5.770000,5.560000,5.650000,5.650000,10466900
2019-12-12,5.640000,6.020000,5.610000,5.940000,5.940000,14273400
2019-12-13,5.990000,6.210000,5.920000,6.090000,6.090000,23280600
2019-12-16,6.110000,6.310000,6.020000,6.030000,6.030000,18583400
2019-12-17,6.080000,6.180000,6.000000,6.050000,6.050000,16733700
2019-12-18,6.020000,6.130000,5.940000,6.040000,6.040000,15152700
2019-12-19,6.050000,6.210000,6.040000,6.110000,6.110000,12522300
2019-12-20,6.100000,6.150000,5.840000,5.890000,5.890000,19266100
2019-12-23,5.910000,6.560000,5.910000,6.540000,6.540000,20572800
2019-12-24,6.510000,6.780000,6.510000,6.550000,6.550000,11729700
2019-12-26,6.610000,6.740000,6.530000,6.600000,6.600000,11756600
2019-12-27,6.580000,6.710000,6.530000,6.570000,6.570000,12130100
2019-12-30,6.640000,7.090000,6.630000,6.800000,6.800000,22465400
2019-12-31,6.750000,6.940000,6.670000,6.880000,6.880000,12914200
2020-01-02,6.980000,7.000000,6.760000,6.930000,6.930000,12965900
2020-01-03,7.100000,7.280000,6.960000,7.040000,7.040000,22448200
2020-01-06,7.150000,7.180000,7.000000,7.170000,7.170000,13913200
2020-01-07,7.150000,7.170000,6.720000,6.890000,6.890000,19777400
2020-01-08,6.870000,6.870000,6.350000,6.420000,6.420000,24622900
2020-01-09,6.410000,6.500000,6.180000,6.410000,6.410000,15300400
2020-01-10,6.410000,6.430000,6.190000,6.230000,6.230000,10008500
2020-01-13,6.230000,6.260000,6.020000,6.240000,6.240000,11222200
2020-01-14,6.170000,6.400000,6.140000,6.280000,6.280000,13075100
2020-01-15,6.190000,6.290000,6.120000,6.180000,6.180000,11255200
2020-01-16,6.260000,6.390000,6.130000,6.150000,6.150000,14469900
2020-01-17,6.220000,6.230000,5.930000,5.970000,5.970000,17614200
2020-01-21,5.900000,5.910000,5.730000,5.730000,5.730000,16909200
2020-01-22,5.720000,5.720000,5.540000,5.570000,5.570000,12936800
2020-01-23,5.400000,5.450000,5.180000,5.240000,5.240000,22488700
2020-01-24,5.210000,5.240000,4.970000,5.100000,5.100000,20599000
2020-01-27,4.840000,4.930000,4.600000,4.620000,4.620000,26125100
2020-01-28,4.700000,4.890000,4.630000,4.770000,4.770000,19677700
2020-01-29,4.850000,4.920000,4.730000,4.730000,4.730000,15579800
2020-01-30,4.610000,4.750000,4.530000,4.740000,4.740000,14903200
2020-01-31,4.630000,4.680000,4.470000,4.560000,4.560000,16582700
2020-02-03,4.540000,4.750000,4.490000,4.650000,4.650000,15791100
2020-02-04,4.880000,5.010000,4.770000,4.810000,4.810000,17514800
2020-02-05,5.020000,5.240000,5.000000,5.200000,5.200000,23107700
