Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,58.939999,59.500000,57.930000,59.410000,56.350376,269700
2019-11-05,59.459999,60.139999,58.259998,59.160000,56.113247,319500
2019-11-06,54.849998,58.639999,53.480000,55.020000,52.186466,794700
2019-11-07,55.480000,56.680000,54.549999,56.540001,53.628185,313600
2019-11-08,56.070000,58.060001,55.779999,56.930000,53.998100,318500
2019-11-11,56.259998,58.480000,56.029999,58.380001,55.373425,319000
2019-11-12,58.099998,58.310001,56.509998,56.830002,53.903248,410800
2019-11-13,55.950001,56.290001,55.150002,55.209999,52.366673,231200
2019-11-14,54.930000,55.700001,54.450001,55.259998,52.414097,248100
2019-11-15,55.820000,56.169998,55.049999,55.709999,52.840923,202800
2019-11-18,55.400002,55.650002,54.459999,55.040001,52.205433,204500
2019-11-19,55.470001,55.970001,54.279999,55.340000,52.489979,259600
2019-11-20,54.959999,55.259998,53.930000,54.590000,51.778603,348600
2019-11-21,54.419998,54.820000,53.619999,54.750000,51.930363,173100
2019-11-22,55.240002,55.240002,53.810001,54.189999,51.399200,175200
2019-11-25,54.529999,55.500000,54.000000,54.700001,51.882938,215100
2019-11-26,54.630001,55.330002,54.049999,55.230000,52.385643,275800
2019-11-27,55.509998,56.520000,55.070000,56.490002,53.580761,175200
2019-11-29,55.509998,55.730000,54.990002,55.270000,53.100388,116200
2019-12-02,55.619999,56.180000,55.180000,55.270000,53.100388,277700
2019-12-03,54.549999,54.639999,53.080002,54.169998,52.043560,165500
2019-12-04,54.680000,55.630001,54.560001,55.290001,53.119598,215500
2019-12-05,55.320000,55.490002,54.740002,55.369999,53.196461,345200
2019-12-06,55.959999,56.630001,55.560001,55.599998,53.417423,244200
2019-12-09,55.639999,56.980000,55.450001,55.910000,53.715260,303100
2019-12-10,56.119999,56.360001,55.500000,56.110001,53.907410,164200
2019-12-11,56.360001,57.500000,56.349998,57.400002,55.146770,218200
2019-12-12,57.490002,58.919998,57.180000,58.360001,56.069084,344000
2019-12-13,58.470001,59.189999,57.700001,57.889999,55.617531,418800
2019-12-16,58.500000,59.160000,57.970001,58.419998,56.126728,261500
2019-12-17,58.389999,58.860001,57.520000,58.820000,56.511028,313200
2019-12-18,59.130001,59.130001,58.230000,59.020000,56.703178,291600
2019-12-19,58.680000,59.540001,58.540001,59.040001,56.722393,237100
2019-12-20,59.169998,59.639999,58.750000,59.099998,56.780033,1057700
2019-12-23,59.209999,59.680000,58.680000,59.580002,57.241192,280600
2019-12-24,59.580002,59.939999,59.230000,59.439999,57.106689,79200
2019-12-26,59.730000,60.580002,59.389999,60.500000,58.125080,131100
2019-12-27,60.919998,61.020000,60.099998,60.980000,58.586235,198400
2019-12-30,61.000000,61.320000,60.660000,61.000000,58.605450,235500
2019-12-31,60.869999,61.330002,60.840000,60.959999,58.567020,326200
2020-01-02,61.500000,61.599998,60.220001,60.509998,58.134682,332000
2020-01-03,59.810001,60.369999,59.270000,60.000000,57.644707,275000
2020-01-06,59.820000,60.000000,58.889999,59.799999,57.452560,275300
2020-01-07,59.400002,60.090000,58.770000,59.570000,57.231586,193300
2020-01-08,59.639999,59.770000,58.299999,58.650002,56.347702,318800
2020-01-09,58.830002,58.939999,58.139999,58.439999,56.145943,183500
2020-01-10,58.299999,58.880001,57.889999,58.310001,56.021046,184500
2020-01-13,58.230000,59.099998,57.990002,58.910000,56.597492,178400
2020-01-14,58.700001,59.730000,58.500000,59.450001,57.116299,187200
2020-01-15,59.240002,60.000000,58.950001,59.639999,57.298840,242900
2020-01-16,60.099998,60.380001,59.389999,59.759998,57.414127,223000
2020-01-17,60.000000,60.099998,59.389999,59.570000,57.231586,164100
2020-01-21,59.369999,59.549999,58.410000,58.709999,56.405342,177200
2020-01-22,59.029999,59.380001,58.570000,58.910000,56.597492,145700
2020-01-23,58.230000,59.070000,57.590000,58.840000,56.530239,205700
2020-01-24,59.160000,59.160000,57.820000,58.230000,55.944191,156600
2020-01-27,57.250000,58.189999,56.580002,57.799999,55.531067,441500
2020-01-28,58.130001,58.430000,57.709999,58.070000,55.790466,237200
2020-01-29,58.150002,59.049999,57.840000,58.779999,56.472599,265000
2020-01-30,58.130001,59.110001,58.130001,59.049999,56.731998,158900
2020-01-31,58.720001,58.930000,57.880001,57.889999,55.617531,559900
2020-02-03,58.310001,59.340000,58.310001,59.009998,56.693569,339700
2020-02-04,60.000000,60.040001,58.939999,59.220001,56.895325,302700
2020-02-05,60.000000,60.980000,59.599998,60.900002,58.509377,355500
2020-02-06,61.000000,61.000000,58.980000,59.419998,57.087475,246300
2020-02-07,58.950001,59.020000,57.720001,58.889999,56.578278,254600
2020-02-10,58.750000,59.459999,57.849998,58.509998,56.213196,413100
2020-02-11,59.970001,65.730003,59.240002,64.919998,62.371574,1100100
2020-02-12,65.830002,66.139999,63.730000,64.279999,61.756699,496200
2020-02-13,63.889999,64.180000,62.810001,63.380001,60.892029,337900
2020-02-14,63.389999,63.840000,62.820000,63.200001,60.719090,247400
2020-02-18,62.900002,63.720001,62.700001,63.689999,61.189854,312900
2020-02-19,64.089996,64.629997,63.180000,63.389999,60.901630,281300
2020-02-20,63.009998,63.779999,62.410000,62.980000,60.507729,213300
2020-02-21,63.049999,63.389999,62.500000,62.840000,60.373222,243400
2020-02-24,61.099998,61.880001,60.770000,61.549999,59.133858,233700
2020-02-25,61.790001,62.040001,59.400002,59.770000,57.423737,554600
2020-02-26,60.180000,60.500000,58.160000,58.790001,56.482204,362500
2020-02-27,58.000000,58.430000,56.230000,56.490002,54.272495,520700
2020-02-28,54.380001,54.820000,52.400002,54.549999,53.085247,503800
2020-03-02,54.669998,56.040001,53.639999,55.970001,54.467121,298700
2020-03-03,56.090000,57.880001,54.360001,55.590000,54.097328,263800
2020-03-04,56.520000,57.590000,55.720001,57.590000,56.043621,234900
2020-03-05,56.700001,56.810001,54.340000,55.150002,53.669140,240700
2020-03-06,53.599998,54.820000,52.369999,53.680000,52.238609,274900
2020-03-09,50.959999,51.020000,47.500000,47.509998,46.234283,431400
2020-03-10,48.759998,48.759998,45.410000,47.509998,46.234283,439900
2020-03-11,45.910000,46.250000,42.509998,43.150002,41.991360,530000
2020-03-12,39.590000,40.630001,37.040001,39.650002,38.585339,620200
2020-03-13,42.389999,43.380001,39.529999,43.330002,42.166527,439100
2020-03-16,43.570000,43.570000,37.730000,40.520000,39.431976,584800
2020-03-17,41.099998,47.450001,40.110001,47.000000,45.737980,516100
2020-03-18,42.709999,45.009998,41.009998,42.259998,41.125256,508700
2020-03-19,42.209999,45.830002,41.130001,43.169998,42.010818,496600
2020-03-20,43.389999,45.820000,40.290001,41.000000,39.899090,979000
2020-03-23,40.660000,41.410000,36.240002,37.720001,36.707161,435000
2020-03-24,40.000000,42.139999,39.000000,40.400002,39.315201,474300
2020-03-25,40.660000,42.000000,37.990002,38.820000,37.777622,456500
2020-03-26,40.299999,40.400002,37.619999,40.009998,38.935669,584800
2020-03-27,38.110001,38.590000,36.639999,37.139999,36.142735,389200
2020-03-30,37.169998,37.820000,35.240002,36.570000,35.588039,563800
2020-03-31,36.580002,39.770000,36.189999,38.470001,37.437023,500900
2020-04-01,37.180000,37.959999,36.369999,36.919998,35.928638,373900
2020-04-02,37.240002,38.259998,35.720001,36.930000,35.938374,254500
2020-04-03,36.709999,37.400002,34.389999,35.779999,34.819252,366400
2020-04-06,37.509998,40.590000,37.509998,40.549999,39.461174,616100
2020-04-07,42.220001,42.820000,40.049999,40.439999,39.354122,481200
2020-04-08,40.840000,42.500000,40.020000,41.750000,40.628948,426700
2020-04-09,42.910000,45.279999,42.869999,44.959999,43.752758,461800
2020-04-13,45.119999,45.349998,42.930000,43.040001,41.884312,314200
2020-04-14,44.000000,44.720001,42.720001,44.020000,42.837997,347600
2020-04-15,42.230000,42.610001,40.520000,40.910000,39.811504,344700
2020-04-16,41.299999,41.900002,38.840000,40.259998,39.178955,377600
2020-04-17,41.279999,42.590000,40.369999,41.299999,40.191032,509200
2020-04-20,40.500000,41.430000,39.490002,40.590000,39.500099,347400
2020-04-21,39.220001,41.360001,39.040001,40.779999,39.684994,242300
2020-04-22,41.830002,42.459999,41.070000,42.279999,41.144718,338400
2020-04-23,42.639999,44.599998,42.599998,42.700001,41.553440,268900
2020-04-24,43.430000,44.340000,42.759998,44.160000,42.974239,251000
2020-04-27,44.610001,46.240002,43.849998,45.720001,44.492352,301000
2020-04-28,46.880001,48.139999,45.619999,47.700001,46.419186,280800
2020-04-29,49.470001,51.630001,48.869999,51.000000,49.630573,339000
2020-04-30,49.799999,50.540001,48.689999,49.160000,47.839981,426000
2020-05-01,47.410000,47.709999,45.509998,46.320000,45.076237,337200
2020-05-04,45.869999,46.000000,44.950001,45.509998,44.287983,243600
2020-05-05,46.020000,47.470001,45.209999,45.549999,44.326916,285600
2020-05-06,48.599998,51.560001,45.639999,46.000000,44.764832,609500
2020-05-07,45.000000,46.270000,43.599998,43.759998,42.584976,357900
2020-05-08,44.799999,47.220001,44.430000,46.750000,45.494694,281200
2020-05-11,45.430000,46.520000,44.560001,46.279999,45.037312,343300
2020-05-12,46.560001,46.750000,43.700001,43.709999,42.536320,258200
2020-05-13,43.730000,43.730000,40.939999,42.150002,41.018208,303700
2020-05-14,41.110001,42.689999,40.279999,42.009998,40.881966,293900
2020-05-15,41.900002,43.740002,41.900002,42.509998,41.368542,236900
2020-05-18,43.639999,46.889999,43.639999,46.560001,45.309795,332800
2020-05-19,46.320000,48.410000,46.220001,46.990002,45.728249,273600
2020-05-20,47.790001,48.340000,47.130001,48.150002,46.857101,288600
2020-05-21,48.020000,49.110001,47.820000,48.560001,47.256092,231800
2020-05-22,48.450001,48.509998,47.599998,48.299999,47.003071,148800
2020-05-26,50.279999,50.779999,49.500000,50.430000,49.075878,230600
2020-05-27,51.400002,51.849998,49.830002,51.360001,49.980907,402200
